A,B,O,delta_theta,measured_intensity
1.0,0.8,0.95,0.00000000,3.49941166
1.0,0.8,0.95,0.78539816,3.00166551
1.0,0.8,0.95,1.57079633,1.80000000
1.0,0.8,0.95,2.35619449,0.59833449
1.0,0.8,0.95,3.14159265,0.10058834
1.0,0.6,0.90,0.00000000,2.99427400
1.0,0.6,0.90,0.78539816,2.58590060
1.0,0.6,0.90,1.57079633,1.60000000
1.0,0.6,0.90,2.35619449,0.61409940
1.0,0.6,0.90,3.14159265,0.20572600
1.0,0.4,0.85,0.00000000,2.47517440
1.0,0.4,0.85,0.78539816,2.16026311
1.0,0.4,0.85,1.57079633,1.40000000
1.0,0.4,0.85,2.35619449,0.63973689
1.0,0.4,0.85,3.14159265,0.32482560
